ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-16 13:36:00,5.98,5.98,5.98,5.98,2200.0,13156.0
002022.SZ,2026-03-16 13:37:00,5.99,5.99,5.99,5.98,57900.0,346632.0
002022.SZ,2026-03-16 13:38:00,5.99,5.99,6.0,5.99,7200.0,43178.0
002022.SZ,2026-03-16 13:39:00,5.98,5.99,5.99,5.98,17900.0,107186.0
002022.SZ,2026-03-16 13:40:00,5.98,5.98,5.98,5.98,0.0,0.0
002022.SZ,2026-03-16 13:41:00,5.99,5.99,5.99,5.98,6400.0,38334.0
002022.SZ,2026-03-16 13:42:00,5.99,5.99,5.99,5.99,5800.0,34742.0
002022.SZ,2026-03-16 13:43:00,5.98,5.98,5.98,5.98,300.0,1794.0
002022.SZ,2026-03-16 13:44:00,5.99,5.99,6.0,5.99,27500.0,164729.0
002022.SZ,2026-03-16 13:45:00,6.0,5.99,6.0,5.99,300.0,1798.0
002022.SZ,2026-03-16 13:46:00,5.99,6.0,6.0,5.99,30500.0,182697.0
002022.SZ,2026-03-16 13:47:00,5.99,5.99,5.99,5.99,4400.0,26356.0
002022.SZ,2026-03-16 13:48:00,5.99,5.99,5.99,5.99,3000.0,17970.0
002022.SZ,2026-03-16 13:49:00,5.98,5.99,5.99,5.98,30700.0,183719.0
002022.SZ,2026-03-16 13:50:00,5.99,5.99,5.99,5.99,3400.0,20366.0
002022.SZ,2026-03-16 13:51:00,5.99,5.99,5.99,5.99,0.0,0.0
002022.SZ,2026-03-16 13:52:00,5.98,5.98,5.98,5.98,200.0,1196.0
002022.SZ,2026-03-16 13:53:00,5.98,5.99,5.99,5.98,1100.0,6580.0
002022.SZ,2026-03-16 13:54:00,5.98,5.98,5.98,5.98,400.0,2392.0
002022.SZ,2026-03-16 13:55:00,5.98,5.98,5.98,5.98,0.0,0.0
002022.SZ,2026-03-16 13:56:00,5.99,5.98,5.99,5.98,1300.0,7785.0
002022.SZ,2026-03-16 13:57:00,5.99,5.99,5.99,5.99,3700.0,22163.0
002022.SZ,2026-03-16 13:58:00,5.98,5.99,5.99,5.98,20900.0,125179.0
002022.SZ,2026-03-16 13:59:00,5.98,5.99,5.99,5.98,5600.0,33539.0
002022.SZ,2026-03-16 14:00:00,5.99,5.98,5.99,5.98,11800.0,70651.0
002022.SZ,2026-03-16 14:01:00,5.99,5.99,5.99,5.98,11700.0,70066.0
002022.SZ,2026-03-16 14:02:00,5.99,5.98,5.99,5.98,1100.0,6580.0
002022.SZ,2026-03-16 14:03:00,5.98,5.99,5.99,5.98,300.0,1795.0
002022.SZ,2026-03-16 14:04:00,5.99,5.99,5.99,5.99,7500.0,44925.0
002022.SZ,2026-03-16 14:05:00,5.98,5.99,5.99,5.98,10800.0,64674.0
002022.SZ,2026-03-16 14:06:00,5.99,5.99,5.99,5.99,3400.0,20366.0
002022.SZ,2026-03-16 14:07:00,5.98,5.99,5.99,5.98,13200.0,79066.0
002022.SZ,2026-03-16 14:08:00,5.99,5.99,5.99,5.99,5800.0,34742.0
002022.SZ,2026-03-16 14:09:00,5.99,5.99,5.99,5.99,2300.0,13777.0
002022.SZ,2026-03-16 14:10:00,5.99,5.98,5.99,5.98,400.0,2393.0
002022.SZ,2026-03-16 14:11:00,5.99,5.98,5.99,5.98,7500.0,44904.0
002022.SZ,2026-03-16 14:12:00,5.99,5.99,6.0,5.99,76900.0,460632.0
002022.SZ,2026-03-16 14:13:00,5.99,6.0,6.0,5.99,25900.0,155148.0
002022.SZ,2026-03-16 14:14:00,5.98,6.0,6.0,5.98,11200.0,67187.0
002022.SZ,2026-03-16 14:15:00,5.99,5.99,5.99,5.98,5700.0,34140.0
002022.SZ,2026-03-16 14:16:00,5.99,5.99,5.99,5.99,1600.0,9584.0
002022.SZ,2026-03-16 14:17:00,6.0,6.0,6.0,6.0,1800.0,10800.0
